text,actual_label,actual_name,predicted_label,predicted_name,prediction_probability,error_type
"sitescooper : scoop websites onto your palmpilot - sitescooper

automatically retrieves the stories from several news websites , trims off
extraneous html , and converts them into isilo or palm doc format for later
reading on - the - move . it maintains a cache , and will avoid stories you ' ve
already read . it can handle 1 - page sites , 1 - page with diffing , 2 - and
3 - level sites as well as my - netscape - style rss sites . it ' s also very
easy to add a new site to its list . even if you don ' t have a palmpilot ,
it ' s still handy for simple website - to - text conversion . site files are
included for many popular news sites including slashdot , lwn , freshmeat
and linux today . http : / / jmason . org / software / sitescooper /
topsites llc
1300 evans avenue , san francisco , ca 94120 - 7334 usa - phone 415 - 294 - 5300
could you please be so kind as to click on the renew button to renew your
listing in the topsites - us
directory listing by thursday , december 5 , if you do",1,PHISHING,0,LEGITIMATE,0.00027,FALSE_NEGATIVE
"Re: Monkey costumes

No luck this weekend with light colored or brown sweats. We looked in the mall, target and kohl's and only some dark colored sweats. There are lots of clothes in khaki colored - could we use pants or shorts this color?
Namita

-------------- Original message --------------

Hi Everyone,

I still have not had any luck with brown clothing for the monkey costumes (sweats, tees, jeans, etc). In case anyone needs adhesive felt, Joann Fabrics at Oak Valley has sheets of dark brown adhesive felt (8-1/2 x 11 inches) . They also have fuzzy brown felt for $4.99 a yard. Has anyone come across pale yellow or white sweats? We could always dye the white sweats brown (just an idea).

Laura",1,PHISHING,0,LEGITIMATE,0.000296,FALSE_NEGATIVE
"Re: [lwv-healthcare] Millions with Chronic illness go untreated - NY Times

Interesting comments. I have high blood pressure which is under control by medication. I am in the process of trying to get short term coverage as my husband just turned 65 and his other insurance has expired that we got through a board he was on. He is now on Medi-care and I will be as of December. We are trying to purchase short term insurance for me until December 1st until my Medi-care kicks in and my high blood pressure even though it is under control and has been for awhile is an issue. The insurance agent has been very helpful but mentioned HIPPA yesterday. All of this trouble for just three short months of coverage. Sharon Holdt, LWV OC, CA
---- joannfields@verizon.net wrote:
> This paper shows us that it may be helpful, rather than look at the entire 47 million uninsured, to break that down and look separately at that portion that has diabetes or that portion that has hypertension. It opens up the disc",1,PHISHING,0,LEGITIMATE,0.000508,FALSE_NEGATIVE
"rfp - diagnosis and prognosis algorithm research

please be aware that the
submission date for proposal abstracts for ninesigma rfp 50166 - 1 , ""
diagnosis and prognosis algorithm research "" is this wednesday , august 17 , 2005 .
the rfp and associated documents can be accessed online at http : / / www . ninesigma . com / mx / 50166 - 1 ( or click here to go directly
to the web page ) .
please feel free to contact me directly at
stark @ ninesigma . com if you have
any questions ( please do not reply to this email ) . to receive our newsletter that lists all
active projects , register online at www . ninesigma . com / registration _ form .
sincerely ,
kevin c . stark , ph . d .
senior program manager
ninesigma
23825 commerce park , suite a - 1
cleveland , oh 44122
stark @ ninesigma . com
ninesigma , inc 23825 commerce park dr . , suite a - 1 cleveland , oh 44122 this e - mail message is an advertisement and / or solicitation .",1,PHISHING,0,LEGITIMATE,0.000588,FALSE_NEGATIVE
"user8.2-ext1@gvc.ceas-challenge.cc August Deals Save up to %40 Off

Denise Austin's Morning Stretch

Become a member | Learn more | Member sign in
August 06, 2008

Olympian Profile: Debbie Phelps on Her Son's ADHD
Swimmer Michael Phelps, winner of six Olympic gold medals, was diagnosed with ADHD at age 9. His mother discusses the challenges she and Michael faced with his condition.
Read the interview.

Featured Links

Get Fit!

Eat Right!

Feel Great!

Ask Denise

Skin Fit

Thanks for joining our mailing list, user8.2-ext1@gvc.ceas-challenge.cc, on 09/10/2007

REMOVE me from this list

| Add me to this list
|
Manage my e-mail settings

| Contact Customer Service

Copyright 2008 Waterfront Media, Inc. All rights reserved.

4 Marshall Street, North Adams, MA 01247

Subject to our terms of service and privacy policy",1,PHISHING,0,LEGITIMATE,0.000639,FALSE_NEGATIVE
"Order Shipping Confirmation #991-4958216-1093584

[Amazon]

Order Confirmation

Hello jose@monkey.org,

Thank you for shopping with us. We'll send a confirmation when your items ship.

Details

Order #991-4958216-1093584

Shipment 1 of 2

Arriving:
Saturday, August 15

View or manage order

Ship to:
Mike
HAWTHORNE, CA

Shipment 2 of 2

Arriving:
Sunday, August 16

View or manage order

Ship to:
Mike
HAWTHORNE, CA

Total Before Tax:

Estimated Tax:

Gift Card:
Order Total:
$1,164.43

$119.35

-$0.00
$1,287.78

One or more items in this order contain a serial number that uniquely identifies the item. When your order ships, Amazon will scan the serial number and add it to the history of this order. Serial numbers for items that have shipped can be viewed on the Order Details Page

We hope to see you again soon.

Amazon.com

If you need more information, please contact (866) 984-4652
[G.Skill Trident Z Neo Series 32GB (2 x 16GB) 288-Pin SDRAM PC4-28800 DDR4 3600MHz CL16-19-19-39 1.35V Desk",1,PHISHING,0,LEGITIMATE,0.000695,FALSE_NEGATIVE
"cs structure

try it
!
http : / / cs - structure . inr . ac . ru / a new service for searching papers in citeseer
database",1,PHISHING,0,LEGITIMATE,0.00089,FALSE_NEGATIVE
"follow - up crm software

good morning ,
i ' m following up on an email sent to you a few weeks back to see if your interest in a help desk outsourcing solution software or development might be a consideration for now or in 2005 . we specialize in workflow collaboration software and the only firm that is assessed at communication management incorporated in our crm applications . please find below a brief profile of are help desk solutions .
the active request engine is an information work management system that betters the collaboration amongst staff and teams . improve customer satisfaction with better customer value through benchmarked roi . with web based . net technologies , you establish overall solutions for ongoing requests long - term while maximizing performance today !
i would love to spend a few minutes speaking with you to discuss how partnering with active request engine help desk software , qa and development can add great value to your organization .
i can give you a bri",1,PHISHING,0,LEGITIMATE,0.000908,FALSE_NEGATIVE
"Save 5.00 on Creamfields tickets

Creamfields
Saturday 24th August 2002 2pm-6am (licence granted)
Old Liverpool Airfield
Speke Road, Liverpool

Creamfields. It's What August Bank Holidays Are for.

Creamfields is the most intense, chilled out, full on, laid back experience you can cram into one day. Creamfields is the only award-winning dance festival. It's the only festival to feature the best live acts on an outdoor stage, leaving the arenas to the DJs. Creamfields is the best of Cream, Bugged Out!, Global Underground, Subliminal, Passion, Pacha Futura, Frantic, Nukleuz, Bacardi B Bar and Sunday Best. It Just Gets Better.

To help get the party started (right), Ticketmaster have negotiated an exclusive offer of 5.00 off the normal price of tickets making the tickets just 41.00 plus booking fee.

Book here NOW. This offer is only available until 22 June*

http://www.ticketmaster.co.uk/mkt_email/mktemail.asp?id=114

The line-up includes:

FAITHLESS
UNDERWORLD
MIS-TEEQ DJ SHADOW
KOSHEEN",1,PHISHING,0,LEGITIMATE,0.000957,FALSE_NEGATIVE
"cox communications customer followup

hey ,
been a while since we ' ve talked . whats up ? i need some advice reguarding my bank statement last week .
think you could help me please ? it would be much appreciated , thanks .
hope to talk to you soon ,
mom",1,PHISHING,0,LEGITIMATE,0.001117,FALSE_NEGATIVE
